Rapporterat vetenskapligt namn	Vetenskapligt namn	DyntaxaID	FÃ¶rÃ¤ldrataxa	Antal rÃ¤knade rader i databasen	AphiaID	Match type	LSID	TSN	Qualitystatus	Taxon status	ScientificName	Authority	AphiaID_accepted	used_aphia_id	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies	isMarine	isBrackish	isFresh	isTerrestrial	Citation		
222661	Schoenoplectus tabernaemontani	222661	Plantae - Viridiplantae - Streptophyta - Embryophyta - Tracheophyta - Euphyllophytina - Spermatophytae - Angiospermae - Liliopsida - Poales - Cyperaceae - Schoenoplectus - Schoenoplectus tabernaemontani	7	1415740	exact	urn:lsid:marinespecies.org:taxname:1415740		Added by Database Management Team	accepted	Schoenoplectus tabernaemontani	(C. C. Gmel.) Palla	1415740	1415740	Schoenoplectus tabernaemontani	(C. C. Gmel.) Palla	Plantae	Tracheophyta	Magnoliopsida	Poales	Cyperaceae	Schoenoplectus		tabernaemontani		0	0	1	1	WoRMS (2022). Schoenoplectus tabernaemontani (C. C. Gmel.) Palla. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1415740 on 2022-09-20		
223347	Myriophyllum spicatum	223347	Plantae - Viridiplantae - Streptophyta - Embryophyta - Tracheophyta - Euphyllophytina - Spermatophytae - Angiospermae - Magnoliopsida - Saxifragales - Haloragaceae - Myriophyllum - Myriophyllum spicatum	343	416205	exact	urn:lsid:marinespecies.org:taxname:416205	27039	Added by Database Management Team	accepted	Myriophyllum spicatum	L.	416205	416205	Myriophyllum spicatum	L.	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Haloragaceae	Myriophyllum		spicatum			1	1		WoRMS (2022). Myriophyllum spicatum L.. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=416205 on 2022-09-20		
224928	Ranunculus baudotii	224928	Plantae - Viridiplantae - Streptophyta - Embryophyta - Tracheophyta - Euphyllophytina - Spermatophytae - Angiospermae - Magnoliopsida - Ranunculales - Ranunculaceae - Ranunculus - Ranunculus baudotii	26	416217	exact	urn:lsid:marinespecies.org:taxname:416217		Edited by Database Management Team	unaccepted	Ranunculus baudotii	Godr.	1263621	1263621	Ranunculus peltatus subsp. baudotii	(Godr.) Meikle ex C.D.K.Cook	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus		baudotii		0	1	1	0	WoRMS (2022). Ranunculus baudotii Godr.. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=416217 on 2022-09-20		
225236	Chara aspera	225236	Plantae - Viridiplantae - Streptophyta - Charophyta - Charophyceae - Charales - Characeae - Chara - Chara aspera	64	399466	exact	urn:lsid:marinespecies.org:taxname:399466		Checked by Taxonomic Editor	accepted	Chara aspera	Willdenow, 1809	399466	399466	Chara aspera	Willdenow, 1809	Plantae	Charophyta	Charophyceae	Charales	Characeae	Chara		aspera		1	1	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chara aspera Willdenow, 1809. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=399466 on 2022-09-20		
225244	Chara globularis	225244	Plantae - Viridiplantae - Streptophyta - Charophyta - Charophyceae - Charales - Characeae - Chara - Chara globularis	2	495148	exact	urn:lsid:marinespecies.org:taxname:495148	9449	Checked by Taxonomic Editor	accepted	Chara globularis	Thuiller, 1799	495148	495148	Chara globularis	Thuiller, 1799	Plantae	Charophyta	Charophyceae	Charales	Characeae	Chara		globularis		1	1	1	0	Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chara globularis Thuiller, 1799. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=495148 on 2022-09-20		
232570	Furcellaria lumbricalis	232570	Plantae - Biliphyta - Rhodophyta - Rhodophyta - Rhodophytina - Florideophyceae - Rhodymeniophycidae - Gigartinales - Furcellariaceae - Furcellaria - Furcellaria lumbricalis	45	145620	exact	urn:lsid:marinespecies.org:taxname:145620		Checked by Taxonomic Editor	accepted	Furcellaria lumbricalis	(Hudson) J.V.Lamouroux, 1813	145620	145620	Furcellaria lumbricalis	(Hudson) J.V.Lamouroux, 1813	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Furcellariaceae	Furcellaria		lumbricalis		1	1			Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Furcellaria lumbricalis (Hudson) J.V.Lamouroux, 1813. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145620 on 2022-09-20		
232750	Chorda filum	232750	Chromista - Harosa - Halvaria - Heterokonta - Ochrophyta - Phaeophyceae - Laminariales - Chordaceae - Chorda - Chorda filum	43	145722	exact	urn:lsid:marinespecies.org:taxname:145722	11214	Checked by Taxonomic Editor	accepted	Chorda filum	(Linnaeus) Stackhouse, 1797	145722	145722	Chorda filum	(Linnaeus) Stackhouse, 1797	Chromista	Ochrophyta	Phaeophyceae	Chordales	Chordaceae	Chorda		filum		1	1			Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chorda filum (Linnaeus) Stackhouse, 1797. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145722 on 2022-09-20		
232757	Fucus serratus	232757	Chromista - Harosa - Halvaria - Heterokonta - Ochrophyta - Phaeophyceae - Fucales - Fucaceae - Fucus - Fucus serratus	32	145546	exact	urn:lsid:marinespecies.org:taxname:145546	11342	Checked by Taxonomic Editor	accepted	Fucus serratus	Linnaeus, 1753	145546	145546	Fucus serratus	Linnaeus, 1753	Chromista	Ochrophyta	Phaeophyceae	Fucales	Fucaceae	Fucus		serratus		1				Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Fucus serratus Linnaeus, 1753. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145546 on 2022-09-20		
232759	Fucus vesiculosus	232759	Chromista - Harosa - Halvaria - Heterokonta - Ochrophyta - Phaeophyceae - Fucales - Fucaceae - Fucus - Fucus vesiculosus	279	145548	exact	urn:lsid:marinespecies.org:taxname:145548	11335	Checked by Taxonomic Editor	accepted	Fucus vesiculosus	Linnaeus, 1753	145548	145548	Fucus vesiculosus	Linnaeus, 1753	Chromista	Ochrophyta	Phaeophyceae	Fucales	Fucaceae	Fucus		vesiculosus		1	1			Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Fucus vesiculosus Linnaeus, 1753. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145548 on 2022-09-20		
232801	Ulva lactuca	232801	Plantae - Viridiplantae - Chlorophyta - Chlorophyta - Ulvophyceae - Ulvales - Ulvaceae - Ulva - Ulva lactuca	53	145984	exact	urn:lsid:marinespecies.org:taxname:145984	6562	Checked by Taxonomic Editor	accepted	Ulva lactuca	Linnaeus, 1753	145984	145984	Ulva lactuca	Linnaeus, 1753	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva		lactuca		1				Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ulva lactuca Linnaeus, 1753. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145984 on 2022-09-20		
