Rapporterat vetenskapligt namn	Vetenskapligt namn	DyntaxaID	FÃ¶rÃ¤ldrataxa	Antal rÃ¤knade rader i databasen	AphiaID	Match type	LSID	TSN	Qualitystatus	Taxon status	ScientificName	Authority	AphiaID_accepted	used_aphia_id	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies	isMarine	isBrackish	isFresh	isTerrestrial	Citation		
Ampullaceana balthica	Ampullaceana balthica	106629	Animalia - Mollusca - Gastropoda - Heterobranchia - Euthyneura - Tectipleura - Hygrophila - Lymnaeoidea - Lymnaeidae - Ampullaceana - Ampullaceana balthica	153	1288085	exact	urn:lsid:marinespecies.org:taxname:1288085		Checked by Taxonomic Editor	accepted	Ampullaceana balthica	(Linnaeus, 1758)	1288085	1288085	Ampullaceana balthica	(Linnaeus, 1758)	Animalia	Mollusca	Gastropoda		Lymnaeidae	Ampullaceana		balthica		0	1	1	0	MolluscaBase eds. (2022). MolluscaBase. Ampullaceana balthica (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1288085 on 2022-09-20		
Amylax	Amylax	1010584	Chromista - Harosa - Halvaria - Alveolata - Miozoa - Myzozoa - Dinozoa - Dinoflagellata - Dinophyceae - Gonyaulacales - Gonyaulacaceae - Amylax	2	109518	exact	urn:lsid:marinespecies.org:taxname:109518	573305	Checked by Taxonomic Editor	accepted	Amylax	Meunier, 1910	109518	109518	Amylax	Meunier, 1910	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Amylax				1				Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Amylax Meunier, 1910. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=109518 on 2022-09-20		
Amylax buxus	Amylax buxus	238211	Chromista - Harosa - Halvaria - Alveolata - Miozoa - Myzozoa - Dinozoa - Dinoflagellata - Dinophyceae - Gonyaulacales - Gonyaulacaceae - Amylax - Amylax buxus	6	233480	exact	urn:lsid:marinespecies.org:taxname:233480		Checked by Taxonomic Editor	unaccepted	Amylax buxus	(Balech) J.D.Dodge, 1989	846758	846758	Amylax triacantha var. buxus	(Balech) Gárate-Lizárraga, 2014	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Amylax		buxus		1				Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Amylax buxus (Balech) J.D.Dodge, 1989. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=233480 on 2022-09-20		
Amylax triacantha	Amylax triacantha	238212	Chromista - Harosa - Halvaria - Alveolata - Miozoa - Myzozoa - Dinozoa - Dinoflagellata - Dinophyceae - Gonyaulacales - Gonyaulacaceae - Amylax - Amylax triacantha	2015	110007	exact	urn:lsid:marinespecies.org:taxname:110007	615885	Checked by Taxonomic Editor	accepted	Amylax triacantha	(Jørgensen) Sournia, 1984	110007	110007	Amylax triacantha	(Jørgensen) Sournia, 1984	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Amylax		triacantha		1				Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Amylax triacantha (Jørgensen) Sournia, 1984. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110007 on 2022-09-20		
Amylax triacantha var. triacantha	Amylax triacantha var. triacantha	0	-	4	1304620	exact	urn:lsid:marinespecies.org:taxname:1304620		Added by Database Management Team	accepted	Amylax triacantha var. triacantha	(Jörgensen) Sournia, 1984	1304620	1304620	Amylax triacantha var. triacantha	(Jörgensen) Sournia, 1984	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Amylax		triacantha		1				WoRMS (2022). Amylax triacantha var. triacantha (Jörgensen) Sournia, 1984. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1304620 on 2022-09-20		
Amythasides macroglossus	Amythasides macroglossus	227467	Animalia - Annelida - Polychaeta - Sedentaria - Canalipalpata - Terebellida - Terebelliformia - Ampharetidae - Amythasides - Amythasides macroglossus	17	129788	exact	urn:lsid:marinespecies.org:taxname:129788	204599	Checked by Taxonomic Editor	accepted	Amythasides macroglossus	Eliason, 1955	129788	129788	Amythasides macroglossus	Eliason, 1955	Animalia	Annelida	Polychaeta	Terebellida	Ampharetidae	Amythasides		macroglossus		1	0	0	0	"Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Amythasides macroglossus Eliason, 1955. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129788 on 2022-09-20"		
Anabaena	Anabaena	1010272	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Nostocaceae - Anabaena	4767	146585	exact	urn:lsid:marinespecies.org:taxname:146585	1100	Checked by Taxonomic Editor	accepted	Anabaena	Bory de Saint-Vincent ex Bornet & Flahault, 1886	146585	146585	Anabaena	Bory de Saint-Vincent ex Bornet & Flahault, 1886	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena				1	1	1	1	Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anabaena Bory de Saint-Vincent ex Bornet & Flahault, 1886. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146585 on 2022-09-20		
Anabaena baltica	Anabaena baltica	236903	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Nostocaceae - Anabaena - Anabaena baltica	27	177635	exact	urn:lsid:marinespecies.org:taxname:177635		Checked by Taxonomic Editor	unaccepted	Anabaena baltica	E.J.Schmidt, 1899	177638	177638	Anabaena spiroides f. baltica	(E.J.Schmidt) Pankow, 1965	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena		baltica		1	0	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anabaena baltica E.J.Schmidt, 1899. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=177635 on 2022-09-20		
Anabaena circinalis	Dolichospermum sigmoideum	263661	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Aphanizomenonaceae - Dolichospermum - Dolichospermum sigmoideum	4	625408	exact	urn:lsid:marinespecies.org:taxname:625408		Checked by Taxonomic Editor	accepted	Dolichospermum sigmoideum	(Nygaard) Wacklin, L.Hoffmann & Komárek, 2009	625408	625408	Dolichospermum sigmoideum	(Nygaard) Wacklin, L.Hoffmann & Komárek, 2009	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum		sigmoideum		0	0	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dolichospermum sigmoideum (Nygaard) Wacklin, L.Hoffmann & Komárek, 2009. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=625408 on 2022-09-20		
Anabaena crassa	Dolichospermum crassum	236905	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Aphanizomenonaceae - Dolichospermum - Dolichospermum crassum	8	625368	exact	urn:lsid:marinespecies.org:taxname:625368		Checked by Taxonomic Editor	accepted	Dolichospermum crassum	(Lemmermann) Wacklin, Hoffmann & Komárek, 2009	625368	625368	Dolichospermum crassum	(Lemmermann) Wacklin, Hoffmann & Komárek, 2009	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum		crassum		0	0	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dolichospermum crassum (Lemmermann) Wacklin, Hoffmann & Komárek, 2009. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=625368 on 2022-09-20		
Anabaena cylindrica	Anabaena cylindrica	236906	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Nostocaceae - Anabaena - Anabaena cylindrica	35	177649	exact	urn:lsid:marinespecies.org:taxname:177649	1128	Checked by Taxonomic Editor	accepted	Anabaena cylindrica	Lemmermann, 1896	177649	177649	Anabaena cylindrica	Lemmermann, 1896	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena		cylindrica		0	0	1	0	Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anabaena cylindrica Lemmermann, 1896. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=177649 on 2022-09-20		
Anabaena flos-aquae	Dolichospermum flosaquae	236908	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Aphanizomenonaceae - Dolichospermum - Dolichospermum flosaquae	93	623803	exact	urn:lsid:marinespecies.org:taxname:623803		Checked by Taxonomic Editor	accepted	Dolichospermum flosaquae	(Brébisson ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009	623803	623803	Dolichospermum flosaquae	(Brébisson ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum		flosaquae		0	0	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dolichospermum flosaquae (Brébisson ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=623803 on 2022-09-20		
Anabaena inaequalis	Anabaena inaequalis	236910	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Nostocaceae - Anabaena - Anabaena inaequalis	218	177659	exact	urn:lsid:marinespecies.org:taxname:177659	1101	Checked by Taxonomic Editor	accepted	Anabaena inaequalis	Bornet & Flahault, 1886	177659	177659	Anabaena inaequalis	Bornet & Flahault, 1886	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena		inaequalis		0	0	1	0	Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anabaena inaequalis Bornet & Flahault, 1886. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=177659 on 2022-09-20		
Anabaena lemmermannii	Dolichospermum lemmermannii	263659	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Aphanizomenonaceae - Dolichospermum - Dolichospermum lemmermannii	436	625374	exact	urn:lsid:marinespecies.org:taxname:625374		Checked by Taxonomic Editor	accepted	Dolichospermum lemmermannii	(Richter) P.Wacklin, L.Hoffmann & J.Komárek, 2009	625374	625374	Dolichospermum lemmermannii	(Richter) P.Wacklin, L.Hoffmann & J.Komárek, 2009	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum		lemmermannii		0	0	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dolichospermum lemmermannii (Richter) P.Wacklin, L.Hoffmann & J.Komárek, 2009. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=625374 on 2022-09-20		
Anabaena macrospora	Dolichospermum macrosporum	236913	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Aphanizomenonaceae - Dolichospermum - Dolichospermum macrosporum	12	625403	exact	urn:lsid:marinespecies.org:taxname:625403		Checked by Taxonomic Editor	accepted	Dolichospermum macrosporum	(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009	625403	625403	Dolichospermum macrosporum	(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum		macrosporum		0	0	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dolichospermum macrosporum (Klebhan) Wacklin, L.Hoffmann & Komárek, 2009. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=625403 on 2022-09-20		
Anabaena planctonica	Dolichospermum planctonicum	236915	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Aphanizomenonaceae - Dolichospermum - Dolichospermum planctonicum	7	625407	exact	urn:lsid:marinespecies.org:taxname:625407		Checked by Taxonomic Editor	accepted	Dolichospermum planctonicum	(Brunnthaler) Wacklin, L.Hoffmann & Komárek, 2009	625407	625407	Dolichospermum planctonicum	(Brunnthaler) Wacklin, L.Hoffmann & Komárek, 2009	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum		planctonicum		0	0	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dolichospermum planctonicum (Brunnthaler) Wacklin, L.Hoffmann & Komárek, 2009. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=625407 on 2022-09-20		
Anabaena solitaria	Dolichospermum solitarium	236917	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Aphanizomenonaceae - Dolichospermum - Dolichospermum solitarium	2	625410	exact	urn:lsid:marinespecies.org:taxname:625410		Checked by Taxonomic Editor	accepted	Dolichospermum solitarium	(Klebahn) Wacklin, L.Hoffmann & Komárek, 2009	625410	625410	Dolichospermum solitarium	(Klebahn) Wacklin, L.Hoffmann & Komárek, 2009	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum		solitarium		0	0	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dolichospermum solitarium (Klebahn) Wacklin, L.Hoffmann & Komárek, 2009. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=625410 on 2022-09-20		
Anabaena spiroides	Dolichospermum spiroides	236918	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Aphanizomenonaceae - Dolichospermum - Dolichospermum spiroides	119	625411	exact	urn:lsid:marinespecies.org:taxname:625411		Checked by Taxonomic Editor	accepted	Dolichospermum spiroides	(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009	625411	625411	Dolichospermum spiroides	(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Dolichospermum		spiroides		0	0	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dolichospermum spiroides (Klebhan) Wacklin, L.Hoffmann & Komárek, 2009. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=625411 on 2022-09-20		
Anabaenopsis	Anabaenopsis	1010275	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Aphanizomenonaceae - Anabaenopsis	269	146590	exact	urn:lsid:marinespecies.org:taxname:146590	1182	Checked by Taxonomic Editor	accepted	Anabaenopsis	V.V.Miller, 1923	146590	146590	Anabaenopsis	V.V.Miller, 1923	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Anabaenopsis				1	1	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anabaenopsis V.V.Miller, 1923. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146590 on 2022-09-20		
Anabaenopsis elenkinii	Anabaenopsis elenkinii	236928	Bacteria - Cyanobacteria - Cyanophyceae - Nostocophycidae - Nostocales - Aphanizomenonaceae - Anabaenopsis - Anabaenopsis elenkinii	66	345457	exact	urn:lsid:marinespecies.org:taxname:345457		Checked by Taxonomic Editor	accepted	Anabaenopsis elenkinii	V.V.Miller, 1923	345457	345457	Anabaenopsis elenkinii	V.V.Miller, 1923	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Anabaenopsis		elenkinii		0	0	1	0	Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anabaenopsis elenkinii V.V.Miller, 1923. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=345457 on 2022-09-20		
Anaitides	Polyodontes	1007451		34	129137	exact	urn:lsid:marinespecies.org:taxname:129137	65024	Checked by Taxonomic Editor	accepted	Polyodontes	Blainville, 1828	129137	129137	Polyodontes	Blainville, 1828	Animalia	Annelida	Polychaeta	Phyllodocida	Acoetidae	Polyodontes				1	0	0	0	"Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Polyodontes Blainville, 1828. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129137 on 2022-09-20"		
Anaitides groenlandica	Phyllodoce groenlandica	226708	Animalia - Annelida - Polychaeta - Errantia - Phyllodocida - Phyllodociformia - Phyllodocidae - Phyllodoce - Phyllodoce groenlandica	564	334506	exact	urn:lsid:marinespecies.org:taxname:334506	65233	Checked by Taxonomic Editor	accepted	Phyllodoce groenlandica	Örsted, 1842	334506	334506	Phyllodoce groenlandica	Örsted, 1842	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Phyllodoce		groenlandica		1	0	0	0	"Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Phyllodoce groenlandica Örsted, 1842. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=334506 on 2022-09-20"		
Anaitides longipes	Phyllodoce longipes	226709	Animalia - Annelida - Polychaeta - Errantia - Phyllodocida - Phyllodociformia - Phyllodocidae - Phyllodoce - Phyllodoce longipes	6	130673	exact	urn:lsid:marinespecies.org:taxname:130673	65251	Checked by Taxonomic Editor	accepted	Phyllodoce longipes	Kinberg, 1866	130673	130673	Phyllodoce longipes	Kinberg, 1866	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Phyllodoce		longipes		1	0	0	0	"Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Phyllodoce longipes Kinberg, 1866. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130673 on 2022-09-20"		
Anaitides mucosa	Phyllodoce mucosa	226712	Animalia - Annelida - Polychaeta - Errantia - Phyllodocida - Phyllodociformia - Phyllodocidae - Phyllodoce - Phyllodoce mucosa	42	334512	exact	urn:lsid:marinespecies.org:taxname:334512	65239	Checked by Taxonomic Editor	accepted	Phyllodoce mucosa	Örsted, 1843	334512	334512	Phyllodoce mucosa	Örsted, 1843	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Phyllodoce		mucosa		1	0	0	0	"Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Phyllodoce mucosa Örsted, 1843. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=334512 on 2022-09-20"		
Anaitides subulifera	Phyllodoce rosea	226713	Animalia - Annelida - Polychaeta - Errantia - Phyllodocida - Phyllodociformia - Phyllodocidae - Phyllodoce - Phyllodoce rosea	30	334514	exact	urn:lsid:marinespecies.org:taxname:334514	573731	Checked by Taxonomic Editor	accepted	Phyllodoce rosea	(McIntosh, 1877)	334514	334514	Phyllodoce rosea	(McIntosh, 1877)	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Phyllodoce		rosea		1	0	0	0	"Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Phyllodoce rosea (McIntosh, 1877). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=334514 on 2022-09-20"		
Anapagurus chiroacanthus	Anapagurus chiroacanthus	217757	Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Eucarida - Decapoda - Pleocyemata - Anomura - Paguroidea - Paguridae - Anapagurus - Anapagurus chiroacanthus	6	107215	exact	urn:lsid:marinespecies.org:taxname:107215	97857	Checked by Taxonomic Editor	accepted	Anapagurus chiroacanthus	(Liljeborg, 1856)	107215	107215	Anapagurus chiroacanthus	(Liljeborg, 1856)	Animalia	Arthropoda	Malacostraca	Decapoda	Paguridae	Anapagurus		chiroacanthus		1	0	0	0	"Lemaitre, R.; McLaughlin, P. (2022). World Paguroidea & Lomisoidea Database. Anapagurus chiroacanthus (Liljeborg, 1856). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107215 on 2022-09-20"		
Anathece bachmannii	Anathece bachmannii	236794	Bacteria - Cyanobacteria - Cyanophyceae - Synechococcophycidae - Synechococcales - Synechococcaceae - Anathece - Anathece bachmannii	36	624957	exact	urn:lsid:marinespecies.org:taxname:624957		Checked by Taxonomic Editor	accepted	Anathece bachmannii	(Komárek & Cronberg) Komárek, Kastovsky & Jezberová, 2011	624957	624957	Anathece bachmannii	(Komárek & Cronberg) Komárek, Kastovsky & Jezberová, 2011	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Anathece		bachmannii		0	0	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anathece bachmannii (Komárek & Cronberg) Komárek, Kastovsky & Jezberová, 2011. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=624957 on 2022-09-20		
Anathece clathrata	Anathece clathrata	236796	Bacteria - Cyanobacteria - Cyanophyceae - Synechococcophycidae - Synechococcales - Synechococcaceae - Anathece - Anathece clathrata	80	699619	exact	urn:lsid:marinespecies.org:taxname:699619		Checked by Taxonomic Editor	accepted	Anathece clathrata	(West & G.S.West) Komárek, Kastovsky & Jezberová, 2011	699619	699619	Anathece clathrata	(West & G.S.West) Komárek, Kastovsky & Jezberová, 2011	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Anathece		clathrata		0	0	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anathece clathrata (West & G.S.West) Komárek, Kastovsky & Jezberová, 2011. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=699619 on 2022-09-20		
Anathece smithii	Anathece smithii	236800	Bacteria - Cyanobacteria - Cyanophyceae - Synechococcophycidae - Synechococcales - Synechococcaceae - Anathece - Anathece smithii	8	624960	exact	urn:lsid:marinespecies.org:taxname:624960		Checked by Taxonomic Editor	accepted	Anathece smithii	(Komárková-Legnerová & Cronberg) Komárek, Kastovsky & Jezberová, 2011	624960	624960	Anathece smithii	(Komárková-Legnerová & Cronberg) Komárek, Kastovsky & Jezberová, 2011	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Synechococcaceae	Anathece		smithii		0	0	1		Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Anathece smithii (Komárková-Legnerová & Cronberg) Komárek, Kastovsky & Jezberová, 2011. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=624960 on 2022-09-20		
Andaniopsis nordlandica	Andaniopsis nordlandica	243701	Animalia - Arthropoda - Crustacea - Malacostraca - Eumalacostraca - Peracarida - Amphipoda - Amphilochidea - Lysianassida - Stegocephaloidea - Stegocephalidae - Andaniopsis - Andaniopsis nordlandica	3	103089	exact	urn:lsid:marinespecies.org:taxname:103089	94900	Checked by Taxonomic Editor	accepted	Andaniopsis nordlandica	(Boeck, 1871)	103089	103089	Andaniopsis nordlandica	(Boeck, 1871)	Animalia	Arthropoda	Malacostraca	Amphipoda	Stegocephalidae	Andaniopsis		nordlandica		1	0	0	0	"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Andaniopsis nordlandica (Boeck, 1871). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103089 on 2022-09-20"		
Aneumastus tusculus	Aneumastus tusculus	237806	Chromista - Harosa - Halvaria - Heterokonta - Bacillariophyta - Bacillariophyceae - Bacillariophycidae - Mastogloiales - Mastogloiaceae - Aneumastus - Aneumastus tusculus	8	163682	exact	urn:lsid:marinespecies.org:taxname:163682	591169	Edited by Database Management Team	accepted	Aneumastus tusculus	(Ehrenberg) D.G. Mann & Stickle in Round, Crawford & Mann, 1990	163682	163682	Aneumastus tusculus	(Ehrenberg) D.G. Mann & Stickle in Round, Crawford & Mann, 1990	Chromista	Ochrophyta	Bacillariophyceae	Mastogloiales	Mastogloiaceae	Aneumastus		tusculus		1		1	0	"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2022). DiatomBase. Aneumastus tusculus (Ehrenberg) D.G. Mann & Stickle in Round, Crawford & Mann, 1990. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=163682 on 2022-09-20"		
